Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
   81    0 0xffffff7f83652000 0x2000     0x2000     com.apple.driver.AppleFileSystemDriver (3.0.1) F280BF47-2533-395A-985C-3E2B303C0BA3 <24 4 3>
   82    1 0xffffff7f818b3000 0x8000     0x8000     com.apple.driver.usb.AppleUSBHostCompositeDevice (1.2) 659C4663-558D-3660-B4A6-BF8E4329D99F <30 29 6 5 4 3 1>
   83    1 0xffffff7f82ab9000 0x8000     0x8000     com.apple.driver.usb.networking (5.0.0) 4F02CA36-89E7-3FF5-8304-46348D4DB862 <30 6 5 4 3 1>
   84    0 0xffffff7f82ac1000 0x9000     0x9000     com.apple.driver.usb.cdc (5.0.0) 37D38C76-F2AB-386B-94AA-ECECE1F1C6E6 <83 82 30 5 4 3 1>
   85    0 0xffffff7f816e1000 0xc000     0xc000     com.apple.driver.usb.IOUSBHostHIDDevice (1.2) 84C24122-8A9E-3852-BB82-7D0BF32F57D0 <51 30 29 5 4 3 1>
   86    0 0xffffff7f818dd000 0xa000     0xa000     com.apple.iokit.IOUSBHIDDriver (900.4.1) 8B9C3077-3531-35E3-8F86-24D23F4C10B7 <74 51 5 4 3 1>
   87   16 0xffffff7f80b5d000 0x56000    0x56000    com.apple.iokit.IOGraphicsFamily (519.15) D5F2A20D-CAB0-33B2-91B9-E8755DFC34CB <12 7 5 4 3 1>
   88    1 0xffffff7f82da0000 0x12000    0x12000    com.apple.driver.AppleSMBusController (1.0.18d1) 42F7ACFC-82B8-3A3C-9C1D-B2EEBDE3680B <53 12 11 5 4 3>
   89    0 0xffffff7f82db2000 0x10000    0x10000    com.apple.driver.AppleMCCSControl (1.5.4) 573862B9-440D-383A-828C-DF97E15F3BB4 <88 87 13 12 11 7 5 4 3 1>
   90    3 0xffffff7f81c26000 0x10000    0x10000    com.apple.iokit.IONDRVSupport (519.15) B419F958-11B8-3F7D-A31B-A72166B6E234 <87 12 7 5 4 3>
   91    2 0xffffff7f83634000 0x6000     0x6000     com.apple.driver.AppleBacklightExpert (1.1.0) B914C331-D34D-3C2A-A213-B030389F577C <90 87 13 12 5 4 3>
   92    0 0xffffff7f8368f000 0x5000     0x5000     com.apple.driver.AppleBacklight (170.12.6) 5B2C1589-CD83-390D-83C1-E1F4A6CF6C6F <91 90 87 12 5 4 3>
   93    0 0xffffff7f8364d000 0x3000     0x3000     com.apple.driver.AppleFIVRDriver (4.1.0) 6ADAEBCE-4DF7-3ABF-B129-FC6AD28753B3 <4 3>
   94    1 0xffffff7f81aca000 0x5000     0x5000     com.apple.iokit.IOSlowAdaptiveClockingFamily (1.0.0) CBE56568-AC91-3F56-A06E-9A29D6F70BDA <7 6 5 4 3 1>
   95    0 0xffffff7f82e95000 0x2000     0x2000     com.apple.driver.AppleIntelSlowAdaptiveClocking (4.0.0) 7DFBC6BB-39A0-3639-9683-99472E9AAC69 <94 4 3>
  101    0 0xffffff7f82d93000 0x4000     0x4000     com.apple.driver.AppleOSXWatchdog (1) 10AB980B-BF01-317D-8CE7-51079C8E304C <12 7 6 5 4 3 1>
  102    1 0xffffff7f80eae000 0xab000    0xab000    com.apple.vecLib.kext (1.2.0) F41EEA34-47C4-3ADE-BA77-D7A3CCA437B9 <8 6 5 4 3>
  103    4 0xffffff7f80f59000 0x47000    0x47000    com.apple.iokit.IOAudioFamily (206.5) 2F090399-C028-3F14-AE4F-BF49A3D602E5 <102 5 4 3 1>
  104    1 0xffffff7f8334c000 0xf000     0xf000     com.apple.iokit.IOHDAFamily (281.51) 9A08AF77-E5A9-3C54-B5B1-51FE28A83FC4 <5 4 3 1>
  105    0 0xffffff7f8335f000 0x1f000    0x1f000    com.apple.driver.AppleHDAController (281.51) B33D861B-CBFD-34B8-883C-EBC5F129F824 <104 103 87 12 7 6 5 4 3 1>
  106    0 0xffffff7f82973000 0x3000     0x3000     com.apple.driver.eficheck (1) 2AB9331F-103D-3D56-886C-7BEBA27EAB56 <55 12 4 3 1>
  108    2 0xffffff7f81aaa000 0x1c000    0x1c000    com.apple.iokit.IOSurface (211.12) E998B85B-3174-3C25-B82B-C0D8BD9720E5 <7 6 5 4 3 1>
  109    2 0xffffff7f82eca000 0xa7000    0xa7000    com.apple.iokit.IOAcceleratorFamily2 (378.18.1) BAA0383C-9650-3934-B04A-69008F757A2C <108 87 36 12 7 6 5 4 3 1>
  110    6 0xffffff7f82f71000 0xb000     0xb000     com.apple.AppleGraphicsDeviceControl (3.18.48) 89491182-0B41-3BC3-B16F-D5043425D66F <87 12 7 6 5 4 3 1>
  111    0 0xffffff7f82f7c000 0x1e1000   0x1e1000   com.apple.driver.AppleIntelKBLGraphicsFramebuffer (10.3.2) 85D9AAB3-4C9E-3E93-97F0-C68BD2092AB4 <110 109 87 15 12 11 7 6 5 4 3 1>
  114    0 0xffffff7f83624000 0xc000     0xc000     com.apple.AppleGPUWrangler (3.18.48) 639340A6-458F-376A-93C5-30FB44E58EAE <110 87 12 7 6 5 4 3 1>
  115    0 0xffffff7f83300000 0xa000     0xa000     com.apple.driver.AppleHV (1) E2F5383C-0A02-35E6-844D-0F4E90C8F819 <7 6 5 4 3 1>
  116    0 0xffffff7f82ced000 0xc000     0xc000     com.apple.driver.AppleSSE (1.0) A03F1DB8-AE84-3374-87E2-8292B81F8E1E <31 27 26 7 5 4 3 1>
  117    0 0xffffff7f82979000 0x5000     0x5000     com.apple.Dont_Steal_Mac_OS_X (7.0.0) 6F899B4B-5B97-3559-85B1-7798E34AE7EE <13 9 7 4 3 1>
  119    2 0xffffff7f81e1b000 0x7000     0x7000     com.apple.iokit.IOEthernetAVBController (1.1.0) 0B1D1184-C655-3A04-A741-4704652016B6 <22 5 4 3 1>
  120    1 0xffffff7f81e22000 0xa9000    0xa9000    com.apple.plugin.IOgPTPPlugin (675.12) A936F3A9-4502-380E-A26D-F5AE80F1D174 <119 51 23 22 6 5 4 3 1>
  121    0 0xffffff7f81ecb000 0x12000    0x12000    com.apple.iokit.IOAVBFamily (675.6) B9EC77CA-54BD-3921-8145-808FFAF10FDE <120 119 23 22 6 5 4 3 1>
  122    3 0xffffff7f81cde000 0xfc000    0xfc000    com.apple.iokit.IOBluetoothFamily (6.0.5f3) D7E7AD18-D82E-3954-8B18-639EA928044D <30 15 11 7 6 5 4 3 1>
  123    2 0xffffff7f81ade000 0x11000    0x11000    com.apple.iokit.IOSerialFamily (11) 6FE74518-ECD9-32D6-88BE-8F5BCAC911D4 <7 6 5 4 3 1>
  124    0 0xffffff7f81cce000 0xa000     0xa000     com.apple.iokit.IOBluetoothSerialManager (6.0.5f3) 50849937-CC57-3865-8709-322C5763BEF9 <123 7 5 4 3 1>
  125    0 0xffffff7f815e0000 0x6000     0x6000     com.apple.iokit.IOUserEthernet (1.0.1) E3D78FE7-50D1-39D3-A58E-61CE8E37874F <22 6 5 4 3 1>
  126    0 0xffffff7f81457000 0xf000     0xf000     com.apple.driver.pmtelemetry (1) D05A7662-C1A6-32DB-9051-52B1393CEABD <7 6 5 4 3>
  128    0 0xffffff7f82d00000 0x3000     0x3000     com.apple.driver.AppleSMBusPCI (1.0.14d1) 60757613-A302-3BB0-B68B-653306645108 <12 5 4 3>
  129    6 0xffffff7f81b43000 0xa000     0xa000     com.apple.driver.IOPlatformPluginFamily (6.0.0d8) 8EB904D8-5C3D-3502-A2CC-1E0DDE433C16 <11 7 6 5 4 3>
  130    0 0xffffff7f82e99000 0x5000     0x5000     com.apple.driver.AppleIntelPCHPMC (2.0.1) 9427576F-C478-329C-94DC-6CCC70E86AA1 <129 13 12 11 4 3>
  131    0 0xffffff7f8318a000 0xf6000    0xf6000    com.apple.driver.AppleIntelKBLGraphics (10.3.2) AC15AF44-8608-3420-9C6B-ED07BD2D6A10 <109 108 87 12 7 6 5 4 3 1>
  133    0 0xffffff7f83630000 0x3000     0x3000     com.apple.AGDCPluginDisplayMetrics (3.18.48) FBFBF0C1-3748-3D59-A735-0ABD0ADE5645 <110 7 6 5 4 3 1>
  134    0 0xffffff7f83776000 0xf000     0xf000     com.apple.driver.Apple16X50Serial (3.2) 4A80A4C1-1935-332F-95E7-A642BB9699E6 <123 12 5 4 3>
  135    0 0xffffff7f8363a000 0x5000     0x5000     com.apple.driver.AGDCBacklightControl (3.18.48) A0549FB5-663C-3FD2-95D6-768B07FB4545 <110 91 87 11 7 5 4 3 1>
  136    1 0xffffff7f8360d000 0x3000     0x3000     com.apple.driver.AppleGraphicsControl (3.18.48) 91D747FB-F341-33F2-BBDD-0CA45A3CC1B2 <7 5 4 3 1>
  137    0 0xffffff7f83610000 0x12000    0x12000    com.apple.driver.AppleGraphicsDevicePolicy (3.18.48) 641CB49C-C73D-36B4-BEEB-90859E896EE2 <136 110 87 12 11 7 6 5 4 3 1>
  138    1 0xffffff7f81b4d000 0x17000    0x17000    com.apple.driver.X86PlatformPlugin (1.0.0) CF79CBFF-6A44-39B5-84EC-0E0C97B700BA <129 74 30 13 11 7 6 5 4 3 1>
  139    1 0xffffff7f81b6d000 0x14000    0x14000    com.apple.driver.IOPlatformPluginLegacy (1.0.0) 11C9D7C9-BBC0-3D9C-8226-ECCA42207A43 <129 11 7 6 5 4 3>
  140    0 0xffffff7f81b81000 0x10000    0x10000    com.apple.driver.ACPI_SMC_PlatformPlugin (1.0.0) C285645B-890B-339A-8C72-7F2FD537E514 <139 129 13 12 11 7 6 5 4 3>
